Gene,fold_T_NM
DDR1,1.030690621
RFC2,0.998055102
HSPA6,0.987700946
PAX8,1.004864243
GUCA1A,1.011581658
UBA7,1.022691772
THRA,1.009700796
CCL5,1.033797927
CYP2E1,0.982571436
EPHB3,0.998238775
ESRRA,1.005293472
CYP2A6,1.004604921
SCARB1,1.025891476
TTLL12,1.032171812
MIR4435-2HG,1.042154583
WFDC2,1.023576484
MAPK1,1.001563497
ADAM32,1.048070857
SPATA17,0.980672905
PRR22,1.020285027
PXK,1.009528574
VPS18,1.00682654
MSANTD3,1.013505781
SLC46A1,1.021123597
TIMD4,0.990709574
SLC39A5,0.977130544
ZDHHC11B,1.027562934
ATP6V1E2,1.016637216
AFG3L1P,1.032700845
CILP2,1.031725443
PIGX,1.015277895
TMEM196,0.984515352
SLC39A13,1.016370602
BEST4,1.040944215
AK9,1.008741659
CORO6,1.002830522
TMEM106A,1.042329067
ALG10,0.990158412
TTC39C,1.00757164
NEXN,1.104486437
C15orf40,1.023976442
RAX2,1.004385478
MFAP3,0.998596676
EYA3,1.013094673
GIMAP1,1.010664178
KLK8,1.020237947
CCDC65,1.009155415
FAM122C,1.007956181
CFAP53,1.038597577
ARMCX4,1.016482297
RBBP6,1.013497053
CENPBD1,1.000907444
TRIOBP,1.034218171
CATSPER1,0.981688976
HOXD4,1.014702837
GSC,1.010437097
PDE7A,1.002619462
CNOT7,0.986898631
CRYZL1,0.998512925
PRSS33,0.99146386
CBARP,1.001476957
MCMDC2,0.999078711
LEAP2,1.025792309
MSI2,1.005978634
SCIN,1.073665111
CTCFL,1.023115564
C4orf33,1.026949843
ZNF333,1.020320683
TVP23C,0.994634876
RDH10,1.054920966
SRSF12,1.000075278
FAM71A,1.018432464
GAPT,0.937557362
SCUBE1,0.987907354
ERICH5,0.942967519
CCDC185,1.007238453
ENTHD1,0.994257228
TSSK3,0.991307067
EPPIN,1.030522222
CLEC12A,1.00237969
BRF1,0.999220629
TMEM266,1.00406369
BACH1,1.012820928
CALML6,1.027218282
NLRP5,1.00462757
ODF4,0.999047259
CLEC4F,1.001417898
DEFB106B,1.011169614
WFDC9,1.021526405
NEDD1,1.008640568
