gene,pval_1
MIR1282,0.422649731
SNORD15B,0.422649746
SNORA7A,0.422649758
GSTA3,0.072642524
F3,0.04818463
CDH6,0.006043928
NPY,0.009041248
INHBA,0.082041529
SSX9,0.010396465
DPY19L2,0.079914803
NLRP1,0.062786989
SNORA71B,0.52766127
POTEF,0.143409189
PPP1R1C,0.135992553
HGF,0.01313732
LINC00654,0.044914596
CFC1B,0.008359436
PRRT2,0.158673076
SMOC1,0.038978017
PEX5L,0.129166026
CFC1,0.010519919
ANKRD20A5P,0.095619494
DAPL1,0.005804066
CALCA,0.320217645
CA8,0.028371994
ANGPTL3,0.013823286
NAT16,0.12398796
PDLIM3,0.007887693
CNTN1,0.012956634
ACCS,0.055829414
TCN2,0.045696615
ZNF716,0.033139611
SMIM24,0.006441981
HBE1,0.022534798
RORB,0.080037937
PTN,0.057355339
LAMP3,0.442006686
FLG,0.002931956
GUCY1A2,0.019211312
LHX8,0.000742462
C12orf56,0.034156287
SOGA3,0.009466604
ALDH1L2,0.056685203
BHLHE41,0.008799328
CDH17,0.039010417
LBX2,0.053580363
ZNF727,0.048979294
RGL3,0.087377688
MYBPC1,0.054513619
PRLR,0.054572596
CYP4F35P,0.118968586
PTPRB,0.008223212
CHGB,0.03908589
DDIT4L,0.055191193
WDR17,0.038607053
MIA2,0.019586136
MYO1A,0.001400406
PLTP,0.002491736
FLG-AS1,0.000858831
LOC644554,0.000318505
KLK11,0.001347456
NPNT,0.012132957
NRXN1,0.023324185
UNC79,0.01376575
LINC00202-2,0.015203674
ZNF619,0.05315624
VWA7,0.077288872
SUSD2,0.019408401
PRAP1,0.011011675
TNC,0.003163073
CLDN11,0.002245469
KHDRBS2,0.000456669
SMARCA1,0.003538101
CYP2C8,0.007914406
EDN1,0.020694569
RENBP,0.047346904
ATCAY,0.006662975
GPM6A,0.024635627
CTGF,0.008485235
PDE4B,0.06820079
NFKBIZ,0.103752316
SGCZ,0.005597337
POU6F1,0.008658147
SNORA43,0.403697175
PKP1,0.010765532
AKR1C3,0.021879073
GRM8,0.00311717
SPINK5,0.037939178
ANO5,0.005571606
DPEP3,0.023169205
COL27A1,0.074998098
EPHA3,0.018682663
GUCY2D,0.028778788
S100A6,0.001563622
LINC01012,0.103590341
ZNF22,0.031691155
MOB3B,0.002278444
ANKRD26P1,0.048600346
TDRD9,0.01026247
