gene,fc_1,fc_2
SLC26A2,0.264712557,0.317366491
TRIM49L1,1,1
CPLX3,2.297440088,0.241579066
APP,0.797711246,0.074935239
AR,0.351053993,0.159655881
AMACR,0.040743691,0.340769519
CLGN,0.679483287,0.790155752
SOCS2,0.06290108,0.056050477
PLN,354438.2748,0.983477519
SELENBP1,0.070025145,1.771782903
FAM55D,7931456.561,2.655388623
AGR2,0.184251693,0.022393217
GPNMB,0.162649425,0.650188055
PLA2G2A,1.08E-08,3.65E-08
SNORA62,29.00507859,8.527805334
ZNF812,4.713250583,172.3051386
C6orf145,4.881119653,3.983083641
HMGCS2,0.207577176,2.767930934
ORM1,0.022597949,128879.7423
ORM2,0.12711278,0.442565494
NEFH,96221412.8,3.209912339
SFTPA2,0.122518106,0.012133379
SCARNA2,0.146012569,0.464296543
MOCS2,0.346855931,1.823903658
LOC284215,11897184.34,3.186466427
SCARNA6,0.32851394,0.892226986
SNORD87,56.06508459,30.50009502
SNORA5C,9.076773705,3.843536273
SNORA53,1.113747585,5.060741686
HIST1H4L,5206877312,10.73548428
RPPH1,0.266355025,0.836507859
GALNTL4,0.170636277,0.189305203
FYB,7931456.561,1.517365145
C5orf33,0.26307623,0.272968538
SEPP1,0.359348965,0.431394356
SNORA36B,2.146788805,3.737214318
BZW1,1.372495176,7.094260841
SNORA46,59189967.87,10.62155498
C18orf1,0.957949248,0.767112435
SNORA9,0.223960113,0.243492936
DHRS7,0.134660915,0.084444798
MAP1B,0.089706527,5.760503828
SLC38A1,2.382624275,1.603159427
SQLE,0.572504719,0.377556734
SNORA38,1.869515485,1.44678477
RAD51L1,0.904659355,2.161862286
RPL37,2.080447348,0.915641128
C5orf23,6.282181761,0.171414884
HMGCS1,0.691563879,1.162795258
SKIV2L2,0.534539209,0.483895409
TMSL3,0.033896684,0.009008959
PAIP1,1.762694118,1.890086806
MAGED2,0.503039606,0.178589385
PRKACB,0.006455404,0.057057853
CLEC7A,0.677933369,3856917.962
RGS2,2712956603,175.9074117
C12orf57,0.3875085,1.63757728
DEPDC1,11.65541301,22.57856729
CRISP3,0.326412663,0.000931641
SUB1,0.969185297,2.04098239
AZGP1,1.653771805,70.57790642
SNORA37,4.948913144,1.566411392
GNMT,0.290542883,0.420061606
LOC340113,7490820.141,1.671911554
LOC285577,0.022597827,0.118017533
PERP,0.47189048,1.654691271
VTRNA1-1,0.338966673,0.295043257
GPR64,5728274.461,0.479445312
NAMPT,3.991807177,6.138752982
FZD7,0.278436909,0.389626497
LPHN2,7.878241073,0.325417001
MRPS30,0.460387553,0.580726789
DEFB132,0.015065188,0.409447819
IRF6,0.158557386,0.228526243
