sample	treatment
GSM1527105_1_E5-Tc8_T.CEL	Tumor_1
GSM1527106_2_E5-Tn14_N.CEL	Normal_1
GSM1527107_3_E12-Tp2_T.CEL	Tumor_2
GSM1527108_4_E12-Tn15_N.CEL	Normal_2
GSM1527109_5_E21-Tc8_T.CEL	Tumor_3
GSM1527110_6_E21-Tn16_N.CEL	Normal_3
GSM1527111_7_E28-Tp1_T.CEL	Tumor_4
GSM1527112_8_E28-Tn16_N.CEL	Normal_4
GSM1527113_9_E33-Tc7_T.CEL	Tumor_5
GSM1527114_10_E33-Tn13_N.CEL	Normal_5
GSM1527115_11_E41-Tc7_T.CEL	Tumor_6
GSM1527116_12_E41-Tn13_N.CEL	Normal_6
GSM1527117_13_E42-Tc10_T.CEL	Tumor_7
GSM1527118_14_E42-Tn14_N.CEL	Normal_7
GSM1527119_15_E45-Tc7_T.CEL	Tumor_8
GSM1527120_16_E45-Tn14_N.CEL	Normal_8
GSM1527121_17_E48-Tc7_T.CEL	Tumor_9
GSM1527122_18_E48-Tn13_N.CEL	Normal_9
GSM1527123_19_E52-Tc7_T.CEL	Tumor_10
GSM1527124_20_E52-Tn15_N.CEL	Normal_10
GSM1527125_21_E58-Tc7_T.CEL	Tumor_11
GSM1527126_22_E58-Tn13_N.CEL	Normal_11
GSM1527127_23_E64-Tp3_T.CEL	Tumor_12
GSM1527128_24_E64-Tn16_N.CEL	Normal_12
GSM1527129_25_E73-Tc7_T.CEL	Tumor_13
GSM1527130_26_E73-Tn13_N.CEL	Normal_13
GSM1527131_27_E82-Tp1_T.CEL	Tumor_14
GSM1527132_28_E82-Tn13_N.CEL	Normal_14
GSM1527133_29_E86-Tc8_T.CEL	Tumor_15
GSM1527134_30_E86-Tn13_N.CEL	Normal_15
GSM1527135_31_E88-Tc7_T.CEL	Tumor_16
GSM1527136_32_E88-Tn13_N.CEL	Normal_16
GSM1527137_33_E94-Tc7_T.CEL	Tumor_17
GSM1527138_34_E94-Tn13_N.CEL	Normal_17
GSM1527139_35_E109Tp1_T.CEL	Tumor_18
GSM1527140_36_E109-Tn13_N.CEL	Normal_18
GSM1527141_37_E119-Tc7_T.CEL	Tumor_19
GSM1527142_38_E119-Tn13_N.CEL	Normal_19
GSM1527143_39_E120-Tc7_T.CEL	Tumor_20
GSM1527144_40_E120-Tn13_N.CEL	Normal_20
GSM1527145_41_E123-Tc7_T.CEL	Tumor_21
GSM1527146_42_E123-Tn13_N.CEL	Normal_21
GSM1527147_43_E130-Tp1_T.CEL	Tumor_22
GSM1527148_44_E130-Tn13_N.CEL	Normal_22
GSM1527149_45_E133-Tp4_T.CEL	Tumor_23
GSM1527150_46_E133-Tn15_N.CEL	Normal_23
GSM1527151_47_E136-Tp1_T.CEL	Tumor_24
GSM1527152_48_E136-Tn13_N.CEL	Normal_24
GSM1527153_49_E138-Tp1_T.CEL	Tumor_25
GSM1527154_50_E138-Tn14_N.CEL	Normal_25
GSM1527155_51_E139-Tp1_T.CEL	Tumor_26
GSM1527156_52_E139-Tn13_N.CEL	Normal_26
GSM1527157_53_E152-Tc5_T.CEL	Tumor_27
GSM1527158_54_E152-Tn7_N.CEL	Normal_27
GSM1527159_55_E162-Tp1_T.CEL	Tumor_28
GSM1527160_56_E162-Tn9_N.CEL	Normal_28
GSM1527161_57_E165-Tp1_T.CEL	Tumor_29
GSM1527162_58_E165-Tn7_N.CEL	Normal_29
GSM1527163_59_E178-Tp1_T.CEL	Tumor_30
GSM1527164_60_E178-Tn7_N.CEL	Normal_30
GSM1527165_61_E179-Tp1_T.CEL	Tumor_31
GSM1527166_62_E179-Tn7_N.CEL	Normal_31
GSM1527167_63_E181-Tp1_T.CEL	Tumor_32
GSM1527168_64_E181-Tn8_N.CEL	Normal_32
GSM1527169_65_E182-Tp2_T.CEL	Tumor_33
GSM1527170_66_E182-Tn7_N.CEL	Normal_33
GSM1527171_67_E186-Tp2_T.CEL	Tumor_34
GSM1527172_68_E186-Tn7_N.CEL	Normal_34
GSM1527173_69_E203-Tp1_T.CEL	Tumor_35
GSM1527174_70_E203-Tn7_N.CEL	Normal_35
GSM1527175_71_E208-Tp1_T.CEL	Tumor_36
