Gene,fold_T_NM
RPL17,0.852766761
TARDBP,1.062693376
RNPS1,1.068709694
HSP90AB1,1.070461984
CANX,0.986750583
RPS24,0.93379635
USP22,1.099138474
RPL18,0.900946581
RPS13,0.964736829
JTB,0.993033264
HNRNPM,1.077922969
NPM1,1.050226682
CTDNEP1,1.046733936
RNU1-124P,1.04479467
SMNDC1,1.161650375
RPL27,0.997153331
PRPF8,1.035327594
SART1,1.124882668
HNRNPA1L2,1.052362038
ATP6V0E1,1.24256253
SART3,1.15871237
OAZ1,1.097558966
KAT7,1.143485642
RTCB,1.129501003
HNRNPD,1.011223224
CNPPD1,1.116764479
GDI2,1.034038463
RPL10A,0.947474262
KXD1,1.058205083
FNTA,1.084895128
C1D,0.956787896
SNRNP200,1.163489446
NARS,1.078430339
NONO,1.118493136
Sep-02,1.081683941
LINC02080,0.969164635
ABCF1,1.115524157
KARS,1.150836942
HNRNPC,1.095915025
ILF2,1.120735849
GATC,0.82333916
IK,1.083543993
SPAG7,1.008998965
EIF3F,0.940322035
GDI2P2,1.021823116
ANAPC5,1.008690359
RPS7,0.946511292
ERH,1.235183797
DDX39B,1.073934777
RPL35,0.909445812
DEFB108D,1.010950463
ATP6V0B,1.094727744
DAD1,1.139719819
YY1,1.013862129
RNPS1P1,1.203109593
RPL4,0.876613256
GUK1,1.295746031
RPL28,1.134542359
CBX3,1.27630756
CFL1,1.509289026
RPS27A,0.970159364
CHST8,0.953411037
TPP1,0.969041841
EIF4G2,1.184671313
SNX3,1.053092661
SNORD84,0.963995661
ZPR1,1.096163506
EIF3D,0.992991185
LIAS,0.975261194
TMED2,0.927566989
CBX3P9,1.33618303
SRP14P3,1.039226123
RPL9,0.884188334
RHOA-IT1,1.02119847
DDX5,1.099194758
ARF1,1.254620724
HNRNPDP1,1.098613654
RPS5,0.904387375
RHOA,1.317341312
SLC25A3,0.962253503
STARD7,1.013084263
ZNF259P1,1.161785212
HINT1,1.105997085
RPS3AP5,0.920848879
PSMB2,1.267527141
ARF3,1.127893857
RPL30,0.982734285
KHDRBS1,1.230340333
CCDC84,1.107464252
RPL34P27,0.789368917
RPL14P1,0.90466958
RPS25,0.911761391
TARDBPP2,1.138556975
HNRNPA1,1.075310746
MIR877,0.98570482
CAPNS1,1.285237339
ZNF101,1.020452677
ELOB,1.147008542
RPL19,0.936492561
HSP90AB3P,1.099830081
HNRNPK,1.170222314
SNX32,1.049166095
RPL11,0.883583108
MAPK8,0.966205551
RPL12P16,0.934155336
C11orf58,1.125729041
MIR7-3HG,0.961433801
GNA13,1.046476046
CBX3P1,1.450166358
RPL24,0.907148809
RPL24P4,0.944486687
RPL35P5,0.950987017
MIR7111,1.147856468
SRP14P2,1.02772297
NUP188,1.119313045
PARK7,0.91556232
ZNF146,1.279122481
SLC39A9,1.110544688
RPL4P5,0.886548597
RPS13P2,0.880766587
FAUP1,0.988826286
NBEAL1,1.252780401
HNRNPKP2,1.153618034
