Gene,fold_T_NM
XRRA1,0.986198955
ETNK1,0.974923887
DENND4A,0.889022676
FAM73A,0.954708646
METTL3,0.994835751
SQSTM1,0.971845577
TPD52L1,0.924724115
SH2B3,1.012924368
ATP5G3,1.073619081
UNC13A,0.94922832
PANK1,1.140077288
OST4,1.035890305
ODF2,1.02119146
PIK3CB,0.850356479
MYH14,1.030024033
ZDHHC7,0.876383013
UBOX5,1.075134541
MKI67,1.006492981
KLF10,0.873571618
NUDT21,0.982514069
ITGB3BP,0.940485502
CCDC46,0.929872535
RPL39,0.997616912
HLA-C,0.994855626
TSPO,0.97088915
NUDT17,0.895440989
PHLPP2,1.004259539
NUBP1,0.897410771
PHLDB1,1.027713346
MED16,0.783453137
SIAH1,0.941908653
TEF,1.032160175
CNNM4,1.040775528
DLX2,1.078639362
PHF1,1.046384313
NM_018953,1.056934376
TFB2M,0.98342567
KLK7,1.163511545
PDHA1,0.977275872
CLPB,0.978033715
C6orf223,1.095243563
CYFIP2,1.00373294
DTNA,1.049418337
WIZ,1.00212544
GABRA5,0.975077447
WDR73,0.908627057
PCDHGA10,1.076422498
RPL36,1.024806099
KCNH2,1.022251103
MRPL55,1.010517483
ZRSR2,1.035088525
IFT122,1.054590602
SYTL5,0.982968802
TOM1,0.993419994
FLYWCH1,0.987022718
NPSR1,0.955735525
INTS8,1.111397836
CBS,1.031855763
DEF8,1.002764419
FUT11,0.983267057
FAM122C,1.000042745
LRCH1,1.047469746
PPP2R3A,0.891957194
CABLES1,0.925237366
NUP205,0.964703594
ANXA6,1.104337723
NFKBIB,0.965026572
MOGS,1.104506932
GADD45A,1.008036507
CXCR4,1.053662774
FUT3,1.133272987
ZNF323,1.007088905
TMEM167B,0.968397312
KHK,0.971439811
ELTD1,1.06992742
HABP2,1.070717076
ABCB5,0.911518428
AIPL1,1.186747381
ERLIN2,1.044859916
TIPRL,0.994087257
GAR1,0.979086691
GK5,0.879820922
PRICKLE2,1.037824015
METTL10,1.001250083
NDUFA11,1.010105242
MLXIPL,0.956237327
ARL4C,1.041188019
UBE2V1,1.021233136
CD48,1.024249513
C7orf27,1.012840737
NXF1,0.989658432
GH1,1.132040068
SKP1,0.932906682
IP6K1,1.104381424
AKR1C3,0.899825313
POC1A,1.044394928
CTSL1,1.031025373
HSDL2,0.999618134
FOLR1,0.876220803
MEIS2,0.860176873
NT5M,1.173281182
SYAP1,0.97305055
PPHLN1,0.984181639
GYPE,0.998465592
BMPR1B,0.912473332
CENPO,0.934214897
EIF6,1.009972432
HPR,1.278835208
FOXA3,0.724331073
PCGF6,0.96442687
SRC,1.020518826
LDLR,0.932950354
STAT1,1.009760177
SF1,1.087336145
GGT7,0.960092072
BTBD1,0.931804874
KCTD12,1.018681703
PPP2R5C,0.970233506
REV3L,1.036803531
ATP10A,1.038998974
NMB,1.059613322
ZNF506,0.960964158
MCTS1,1.000589675
ZBP1,1.096281854
ARPC5,0.989522166
FAM82A1,1.016154772
CYP2A13,1.086502504
CCDC132,0.950747631
SRRM1,0.979907568
PTOV1,0.998326842
NPY5R,1.262131583
LHFPL2,0.97868017
MRPL20,1.004083728
IQCG,1.036372437
KIF25,1.236447594
TBCD,1.039310879
SFRS9,0.999225073
SLC25A6,0.982272107
FAM19A5,1.103114565
CIZ1,1.092566145
HAX1,0.947560142
C11orf40,1.243679897
WDR6,0.992559522
GTF2F1,0.989128088
MACF1,1.234301699
TMEM231,1.017816103
SNAPC5,0.961027059
NBPF11,0.880006222
KRTAP5-1,1.088058064
CLK1,0.998910529
KIAA1377,0.99033865
GABARAPL1,0.964766297
CMAS,0.966074754
CLEC4M,1.180270721
ALDH3B1,1.042253817
RPS29,0.979158048
BATF2,0.952168717
ST3GAL6,0.9434255
PPIL2,1.049285246
SNRPA1,0.996174156
CT45A5,0.969049815
LRFN4,1.021013092
PARP1,0.989302734
OTX2,0.991995153
03-Sep,1.022199579
B3GNT1,1.017337147
MAMDC2,0.927146036
KDM5D,1.067832342
C22orf36,0.845390166
CSF3,1.121209324
MAGEB4,0.82851438
WDR81,1.068754921
EIF4ENIF1,0.961245209
DCN,1.076354051
CWF19L2,0.972412324
STK38,1.031971385
ZSWIM2,1.485106246
DONSON,1.009188595
RAB11B,0.994203744
PPP1CB,1.224346242
GSTK1,0.97527796
EIF2AK2,0.907263532
EDNRB,1.115818161
METTL7A,0.957600268
PRKAG1,1.034761385
EIF3K,1.017935419
ARMCX3,1.083489705
CETN2,0.981255589
CRAT,1.214753083
INVS,0.959677514
C9orf95,0.963558159
P2RY6,1.020188121
GAS2L2,1.198813533
PDP1,1.029272414
HSPA12B,1.096306357
ODC1,0.982099258
RPL24,0.994865522
MFAP2,0.8733466
RARB,0.96764105
XRN2,0.942445939
ENO2,1.074613233
NDUFV3,1.006536139
FAHD2A,0.999693707
UBE2C,1.062974846
DOCK10,1.001007768
NUCB2,0.940738896
ZDHHC14,0.963175246
TMUB2,1.00962684
COTL1,1.01335505
CBLB,1.013245425
PTPN12,0.98773456
C11orf1,1.003648344
RBM23,0.944760582
ADAMTSL4,1.140732794
TNFRSF25,1.094101311
UBD,1.054534831
UBAC2,1.150798101
MYBPC1,1.081960776
LRP8,1.083170158
OPHN1,1.037759827
UBR7,0.882545031
ARHGDIA,1.041922931
PHLDB3,1.02114255
MMAB,0.931403905
CCDC6,0.908322936
EGR2,1.092448243
CCR2,0.990295606
NTM,1.101690884
TP53BP2,1.219437722
FBXO6,1.004194323
LIMD2,1.1460059
PCNA,0.984428013
ESR2,1.052468678
ALDH1A3,1.106586479
TADA3,0.961783745
HMGA2,1.316424292
ZNF524,0.981685526
UFD1L,1.01931668
KCNC2,1.189445142
SIP1,0.976919698
CNTN5,1.011017868
OSCAR,1.010372611
COX18,0.878941571
SH3BGRL2,0.962291362
SYNRG,0.985725698
IL1R2,1.194095325
NR1I2,1.00313878
LAMB1,0.995325531
SCARF1,1.010238064
BATF3,1.07760809
TCF20,0.919479124
DEPDC6,1.015546999
FCGBP,0.898590335
TRIM8,0.987721974
GDAP2,0.959173128
C6orf108,0.996055749
ARRB2,1.055204341
WAPAL,0.950262912
ZC3H6,0.968314751
UBAP2L,1.034705763
CFDP1,0.987880632
BAHCC1,1.017819542
FAM73B,1.011323005
NM_021192,1.090086337
ZNF573,0.859848991
SLC29A1,0.99851888
CDK10,1.073487783
ICAM2,1.090068557
TMEM229B,1.009957186
GTF2A1,1.214732891
EPB49,1.109485285
PCBP1,1.001228921
BIRC3,0.94923221
ACTB,1.006079091
ISCA1P1,0.92595012
ANKRD6,0.881849669
TACSTD2,0.898868848
MAVS,0.995762548
CENPM,1.04418086
BAT2L2,1.236537033
PRR13,1.035072492
ACRC,0.911426129
ADSL,1.001047158
SPAG17,1.233318331
HSD17B11,0.938161938
INTS9,1.03413692
MS4A6A,0.98951758
FAM131B,1.104040628
WHSC1,1.050813113
SPPL3,0.959472016
GYG2,1.159568723
SFT2D2,1.003617365
ZCCHC12,0.946356301
PDIA2,0.58943359
APEH,0.955189359
GEM,0.991366177
C14orf182,1.180198315
SLC35B3,0.916002578
LOC100132288,1.020921253
LIPG,0.963670724
FBXW8,0.975716332
GLRX,1.031867198
PCOTH,0.989452454
TPST2,1.022485667
CARD14,1.078398533
PTPN21,1.093091456
LRFN2,1.084878913
ZNF575,1.015966123
N4BP2L2,0.974524501
TAF1C,1.072153611
FGF12,1.073354445
GNAL,0.962571946
RNF181,1.003928126
PRAMEF12,1.318712226
TIMM17B,0.941783524
PLCB3,1.245651137
A2BP1,1.082190684
XKR8,0.989514496
FXYD3,0.923199843
EYA3,1.10876155
ZNF165,0.740080006
FBXL21,1.099725994
TMTC2,0.950257073
CNBP,0.997719124
MEIG1,0.936297742
CDK17,1.048290977
ELF3,0.882438571
DBF4,1.020707138
MRP63,0.914768418
ZNF321,0.862904467
HNRNPA0,0.997641609
CSNK2A1,0.944923002
MRPL22,0.954077567
MAGEB1,1.015936094
PCGF1,0.938293139
PPPDE1,0.844120384
UBXN7,0.963234784
LPXN,1.020254959
TLX3,1.125332921
MOV10L1,1.124061272
MOAP1,0.960525416
ZNF706,0.959992662
DNAJB5,0.978037316
FZR1,0.961760974
CASZ1,0.90403775
SAPS3,1.006397164
TOR1AIP1,0.959929644
ACAA2,0.943735968
AAGAB,0.966696861
PKMYT1,1.102600189
TGFBR2,0.998162714
GALP,1.037495767
NDRG4,1.021274573
TENC1,1.087283418
MYST4,0.920531612
ACAN,1.141141741
GALK2,0.886221468
STOML2,0.993989174
ALDH3A1,1.024119879
RASGRP1,0.987579037
C11orf49,0.99913635
DFNB31,0.982255039
AK1,1.06935043
KIF21B,1.041105172
RNF170,0.959207263
NRG1,1.077555073
PASK,0.999736424
SLC25A24,1.015576425
C9orf69,1.014087365
FAM110C,0.817490419
FAM128B,1.00693196
PFN2,1.017304476
TRAPPC6B,0.940811225
MSL3,0.993805011
TSC22D1,0.978234473
GPRC5C,1.013966794
PER3,1.031711684
UPP1,1.119231447
CIR1,0.932255543
COL6A2,1.079230872
VEGFA,0.988885547
CHFR,1.039115989
GTF2H2B,0.987122549
MMS19,0.939784177
SET,1.04765388
PRDX5,0.985400079
CYTSB,0.934047265
MOBKL3,0.9811767
SPDYE5,0.869385915
HOMER2,0.734424519
BCAS2,0.986525033
CHCHD4,0.930694011
FAM156A,1.018281918
KLK10,1.050175469
DHPS,0.970714658
LRRC52,1.131447337
MRPL40,1.002439434
CTBP2,1.044237108
OR2A2,1.266513107
BRD4,1.000735431
NM_006361,1.083706918
HNF4A,0.984520204
TMEM30A,0.941101714
ZNF311,0.940661014
C1QTNF5,0.984923481
GDI1,0.974642549
NTRK2,0.948379604
CDH10,0.934389039
HEPN1,1.387666501
ALDH4A1,1.090881585
PMS2,1.012973831
ABCC1,1.059542421
SPATA18,1.00163117
GTF2H1,1.108773608
GFRA2,1.137372296
EPHX4,1.018125502
CNN2,1.033929628
SIRPA,1.045975807
TUBE1,0.983764772
ZNF605,1.13105682
DMKN,0.869287731
SNAI1,1.043316857
LSR,0.996317193
SLC2A8,0.96371265
SEMA5B,1.033403755
GPR64,0.96948439
TROVE2,0.926358753
H2AFY2,0.90296071
XAF1,1.008853127
GRAMD1A,0.837621665
SEC22C,0.987325628
ZNF397,1.174168316
NDUFC2,1.023157889
SMOX,1.011875572
GIMAP1,1.046597075
RECQL5,0.859665719
FNTA,0.996731317
GRB10,0.912664425
NUDT8,1.02941975
SGTB,0.956664827
ODF3B,0.95766044
MAF1,0.903382826
AGPAT3,1.087557877
FAM198B,1.134662491
FOLR2,1.158241623
ALPPL2,1.4840289
HHLA2,0.887611791
MAX,0.990873648
NGLY1,0.963020233
TIPARP,1.100944018
SH3BGRL,0.991495416
ROBO4,1.085479342
LTB4R,0.967397198
C20orf160,1.078395364
SYBU,1.123173666
C19orf2,0.908079107
SYNCRIP,0.927936256
DTX4,1.064615069
LFNG,0.987250928
SEC24B,0.942308998
NUP88,1.013915927
ELAC1,0.940513148
POP5,1.006919249
TRIM24,1.087763138
COL14A1,1.072065377
GCNT1,1.04124826
CREBL2,0.969309623
HOXC4,1.222055269
SUN2,0.987161574
FOXH1,1.063663139
KIAA1632,1.283723056
COX6A1,1.002956056
IRF2,0.820890176
C3orf72,1.033405475
CHD9,0.870461085
PTGES3,0.985592074
PCDHGB1,1.006240775
CTSC,1.039562329
ZNF549,0.962334208
ARMCX6,0.941165864
RGS16,1.06229039
TNIP1,0.751217933
BTBD19,0.979285348
GALE,1.10204869
NR2F1,1.058331239
C2orf24,0.989465031
GOPC,1.007368471
ESD,0.979470228
HNF1A,0.720340717
RARA,1.089481083
LEPR,1.026943792
PIAS2,0.996880096
REG3A,0.698756863
ABCD3,0.904603091
NM_002144,1.11127762
C2orf40,1.152058844
PCDHB15,0.953105973
NEU4,1.175532296
NRP1,1.002659362
TAS2R43,0.901427031
FBXO11,0.951808288
LIPA,0.950658759
CNDP2,0.956526697
C8orf47,0.588684002
PRMT10,0.97538768
SLC17A4,0.755805758
MAGED4B,0.973261559
FZD2,1.010319129
DFNB59,0.960594832
RAP1A,0.999092155
LAYN,0.992354415
SLC22A23,1.049547207
RELA,1.014151532
DARC,1.103745602
TXNDC11,0.889253805
TPSG1,1.010802607
RWDD2B,0.988823568
ZAK,0.984593199
MTX2,1.01346838
GTF2A1L,1.069613554
CLPTM1L,1.026388071
ING4,0.93258514
DERL1,0.974189331
GFRA4,1.122960173
FAM115A,1.091088734
PRKAG2,0.928432443
UBC,1.016376084
RFX2,0.964492767
ZNF584,1.006466052
AGTRAP,1.002690021
RASSF7,0.991459687
ACSL6,1.083059067
ATF7IP,1.017615355
MED22,1.003949048
ATP5S,0.904655717
SPTBN5,1.233249498
KAT2B,0.938229801
L3MBTL2,1.020109092
C2CD3,1.016979787
MOBKL2C,0.977910262
URM1,0.978366449
ACSM2B,1.000476467
OR51B4,1.154202381
C16orf86,0.994461129
NCF2,1.066410853
C8orf45,0.962555461
KCNJ8,0.961618309
CTSB,0.949037067
SPG21,1.005872218
SLC30A8,1.0588277
KRTAP4-12,1.035442852
DGKB,0.932400081
THOC2,0.858371911
CAV2,0.985982719
YY2,0.969793974
VOPP1,1.034283256
TRPT1,0.98273898
GNRH2,1.07806104
SUPT7L,0.999724549
SUMO4,0.912561694
SUSD2,0.934203284
PTGS1,1.057335985
RALA,0.996322634
TNFRSF18,1.072529971
SCG5,0.897855791
PFDN6,0.998295195
EED,0.988579961
DMTF1,0.963096025
GLS,0.981944311
GEMIN7,0.992107904
DDX17,0.982256254
SFTPA1,1.036664607
NAALADL2,0.925928028
OTUD3,0.979420793
SLC25A16,0.96023605
TRMT5,1.026759763
PAK1,0.903637332
HIST1H2BK,1.064366288
NAALADL1,1.100650253
CCDC130,1.001244161
TMEM173,1.150276729
GPR109A,1.197901481
PAK3,0.783990788
NDUFA4,0.974991632
ZNF502,1.094346817
MBP,1.047329398
