Gene,fold_T_NM
RPL17,0.984309564
TARDBP,1.007593469
RNPS1,1.005456953
HSP90AB1,1.02168608
CANX,1.007544679
RPS24,1.006746522
USP22,1.012798679
RPL18,0.994681575
RPS13,0.99571298
JTB,1.020735898
HNRNPM,1.017263374
NPM1,1.019026051
CTDNEP1,1.016326718
RNU1-124P,1.029641688
SMNDC1,1.019934427
RPL27,1.000749413
PRPF8,1.002420867
SART1,1.030630546
HNRNPA1L2,1.011853601
ATP6V0E1,1.041844848
SART3,1.035544759
OAZ1,1.020247946
KAT7,1.01724343
RTCB,1.029704959
HNRNPD,1.00414189
CNPPD1,1.038414417
GDI2,1.006767149
RPL10A,0.98798283
KXD1,1.014006956
FNTA,1.015267029
C1D,0.998195256
SNRNP200,1.028658472
NARS,1.007040633
NONO,1.013627772
Sep-02,1.010049651
LINC02080,0.995787332
ABCF1,1.026371418
KARS,1.028821875
HNRNPC,1.011756211
ILF2,1.025591268
GATC,0.967291248
IK,1.016921235
SPAG7,1.004551059
EIF3F,0.998948265
GDI2P2,1.008838403
ANAPC5,1.005477514
RPS7,0.997263334
ERH,1.033915565
DDX39B,1.017837753
RPL35,0.994598669
DEFB108D,1.005713319
ATP6V0B,1.026271515
DAD1,1.023730338
YY1,1.018815528
RNPS1P1,1.045028181
RPL4,0.988969547
GUK1,1.052092707
RPL28,1.011934099
CBX3,1.046316714
CFL1,1.092668164
RPS27A,1.01425128
CHST8,0.99252021
TPP1,1.001314037
EIF4G2,1.021834437
SNX3,1.003504525
SNORD84,0.988061003
ZPR1,1.014125367
EIF3D,1.003232247
LIAS,0.992787423
TMED2,0.985410164
CBX3P9,1.060298327
SRP14P3,0.988328789
RPL9,0.984454311
RHOA-IT1,0.995763819
DDX5,1.016407116
ARF1,1.034313082
HNRNPDP1,1.00967517
RPS5,0.987711086
RHOA,1.042541756
SLC25A3,1.003338038
STARD7,1.010728452
ZNF259P1,1.04474122
HINT1,1.023372544
RPS3AP5,0.987003176
PSMB2,1.054735189
ARF3,1.015547014
RPL30,1.004847078
KHDRBS1,1.041344151
CCDC84,1.019438207
RPL34P27,0.972225523
RPL14P1,0.989868365
RPS25,1.002729349
TARDBPP2,1.026207198
HNRNPA1,1.007875493
MIR877,0.997765236
CAPNS1,1.041440968
ZNF101,1.001495846
ELOB,1.047335136
RPL19,0.998111713
HSP90AB3P,1.023394996
HNRNPK,1.028151803
SNX32,1.013478354
RPL11,0.988239857
MAPK8,1.001760885
RPL12P16,0.99686144
C11orf58,1.013516636
MIR7-3HG,0.979398873
GNA13,1.020921988
CBX3P1,1.054704729
RPL24,0.974963695
RPL24P4,0.993895915
RPL35P5,0.996008393
MIR7111,1.050890655
SRP14P2,1.007407036
NUP188,1.020938124
PARK7,1.003026278
ZNF146,1.048103707
SLC39A9,1.01917588
RPL4P5,0.985955948
RPS13P2,0.988742842
FAUP1,1.004332668
NBEAL1,1.045246041
HNRNPKP2,1.027798562
NIFK,1.005848073
RPS11,0.994854327
FAM153CP,0.982741727
CCDC144NL-AS1,0.985600301
MIR3655,0.961485324
CCDC77,1.022949766
C1DP5,1.031987604
RPS27AP1,1.008369608
CTSC,1.035862002
RPL34,0.985518605
CCT3,1.014964828
SUPT7L,1.004154147
PBX4,1.02435147
TRAPPC4,1.050853429
RPS10-NUDT3,0.994050158
SRP14,1.010853664
RPL34P33,0.972267965
RPL37P23,0.986422568
H3F3AP6,1.016011366
HNRNPA1P48,1.006155463
RPL12P4,0.986470836
FNTAP2,1.022914884
RCC2P8,1.021288186
NDUFA2,1.021670464
OTOA,0.997968805
SRSF9,1.022164482
RN7SL861P,1.009692835
HNRNPKP1,1.012494505
B3GALT5-AS1,0.998625589
IFT43,1.011323055
YY1P2,1.067986132
MYH9,1.040547107
CHMP7,1.008870419
TSPAN10,0.996914912
RNU6-30P,1.007020904
RPS3AP6,0.983005594
TFE3,1.029233958
TJAP1,1.012496811
RPL19P21,0.986155538
TMEM192,0.98082267
CAMTA2,0.993166299
CSKMT,0.992635653
PHTF2,1.015330166
HNRNPA1P54,0.990776647
RPS24P8,0.989230834
RPS10,0.992674918
CC2D1A,0.996777025
RPS11P5,0.996584087
RPL24P8,0.996179539
RPS7P8,0.997793673
RPL35P2,0.984826471
TACC2,1.012434156
RPL21P3,0.978277442
SEPT2P1,1.045019085
RPL30P13,1.005652292
MAP2K6,0.973176603
RPL12P50,0.954147909
HNRNPA1P16,1.011107082
FAU,1.027782413
TRBV6-8,0.991673332
MT-ND1,0.942631784
FAM87A,0.957724918
LINC01128,0.943240942
SAMD11,0.998761708
KLHL17,0.997143738
PLEKHN1,1.017853737
ISG15,1.061758351
AGRN,1.076848153
MIR200B,1.008746191
MIR200A,1.002114544
MIR429,1.022036656
TTLL10,0.993995511
B3GALT6,0.999286669
SCNN1D,1.000172992
PUSL1,1.007429707
CPTP,1.000459598
TAS1R3,0.999608772
VWA1,1.009369414
ATAD3C,1.023941309
ATAD3A,1.025913315
ATAD3B,1.013882598
MIB2,0.989454307
MMP23B,0.988363345
CALML6,1.01928393
GABRD,1.002621493
PRKCZ,1.032573225
SKI,1.026368566
RER1,1.036826465
PLCH2,0.999028813
PRXL2B,1.046186924
ACTRT2,1.011811316
PRDM16,0.970713833
ARHGEF16,1.050045225
TPRG1L,1.043899267
TP73,1.001573787
CCDC27,1.018716828
DFFB,1.010838469
AJAP1,0.95440836
KCNAB2,1.036228694
RNF207,1.027723232
LINC00337,1.004937333
HES3,0.981763227
ESPN,0.987879025
RNU6-731P,0.985978066
TAS1R1,1.003923341
ZBTB48,1.012693984
PHF13,1.032806158
THAP3,1.026085049
CAMTA1,1.016316537
RNU1-8P,1.000501634
VAMP3,1.059543266
PER3,0.96068891
SLC45A1,1.018572133
HMGN2P17,1.002367691
CA6,1.024243076
H6PD,1.028857463
SPSB1,1.064387197
TMEM201,0.986773815
PIK3CD,1.004358988
NMNAT1,1.008508075
RN7SKP269,1.008618756
RBP7,0.927253701
UBE4B,0.979118171
RNU6-828P,0.999496433
KIF1B,0.993977601
PGD,1.050607895
CENPS-CORT,0.981286991
PEX14,1.024237731
RN7SL614P,1.008936105
ANGPTL7,0.992020866
RNU6-291P,1.012808041
UBIAD1,0.998987926
DISP3,0.987604162
FBXO44,0.993520677
FBXO6,1.015470541
DRAXIN,1.002991904
AGTRAP,1.025000791
C1orf167,1.009254047
CLCN6,1.031439773
PLOD1,1.099715642
MFN2,1.02211796
MIIP,1.02014007
TNFRSF8,1.000699831
TNFRSF1B,1.027122389
VPS13D,1.00806727
AADACL4,0.980456154
AADACL3,0.992809547
C1orf158,0.963079776
PRAMEF12,1.01225165
PRAMEF13,1.017123686
PRAMEF2,0.997877498
PRAMEF33,1.018871333
PRAMEF27,0.994305292
PRAMEF17,1.009582603
PRAMEF20,1.017625022
PDPN,1.143992705
PRDM2,1.013568632
KAZN,0.997170351
TMEM51,0.996626399
FHAD1,1.062474895
EFHD2,1.032981419
CTRC,0.70910925
CELA2A,0.716149803
CELA2B,0.711221513
DNAJC16,1.012098591
CHCHD2P6,1.025454005
DDI2,1.036745465
PLEKHM2,1.017529094
SLC25A34,0.974130421
TMEM82,1.007444011
FBLIM1,1.037251897
SPEN,1.006089578
SRARP,0.993567539
CLCNKA,0.990712131
CLCNKB,0.99394137
SZRD1,1.034574604
NECAP2,1.074579956
MST1P2,0.975200883
CROCC,0.99473604
LINC01783,0.987380573
PADI1,1.276889753
PADI3,1.01048653
PADI4,0.997397064
PADI6,1.026140624
ARHGEF10L,0.988098451
ACTL8,1.00746061
IGSF21,1.018776615
KLHDC7A,0.99149583
DYNLL1P3,1.017448196
PAX7,0.992875776
MRTO4,1.031337332
PQLC2,0.987834766
RN7SL277P,0.965361964
RNU4-28P,1.000898871
MICOS10,1.015308187
NBL1,1.092692211
HTR6,1.012696496
OTUD3,1.011156741
RN7SL304P,0.984460671
PLA2G5,1.018556533
PLA2G2F,1.003405869
UBXN10,1.094553922
VWA5B1,0.986506221
FAM43B,0.9996977
CDA,1.134001354
PINK1,1.004740406
PPP1R11P1,1.015597127
HS6ST1P1,0.9800373
NBPF3,1.016578074
ALPL,0.971347191
LDLRAD2,0.997272834
CELA3B,0.80024417
RN7SL386P,0.70178652
CELA3A,0.795069388
RN7SL186P,0.708346357
CDC42,1.020703224
ZBTB40,0.982582811
EPHA8,0.998530129
C1QA,1.065825233
C1QC,1.063919216
C1QB,1.073977624
EPHB2,1.036183685
KDM1A,1.035780761
RNU6-514P,0.96451344
RNU6-135P,0.984939475
ZNF436-AS1,0.997769862
MDS2,1.009471374
ELOA,0.989391229
PITHD1,1.016796413
LYPLA2,1.003730212
GRHL3,1.00113339
NIPAL3,1.006393016
RCAN3,0.967596935
NCMAP,0.936659731
SRRM1,1.002027234
CLIC4,1.067792552
RHD,1.008192181
TMEM50A,1.044568458
MACO1,0.990290276
LDLRAP1,0.956549322
MAN1C1,1.003184055
SELENON,0.996445983
MTFR1L,0.988699767
RNU6-110P,0.95788432
EXTL1,1.006296717
PDIK1L,0.969641626
FAM110D,0.992425271
ZNF593,0.986174252
CNKSR1,1.021874505
CATSPER4,1.010272742
CEP85,1.032434752
CD52,1.059996945
LIN28A,1.016483573
DHDDS,1.010336034
RPS6KA1,1.037300143
ARID1A,1.007309427
PIGV,1.013486196
RN7SL165P,1.003105723
ZDHHC18,1.031974929
SFN,1.21908387
NUDC,1.028177342
TRNP1,1.007927919
WDTC1,1.002090883
TMEM222,1.017576502
SYTL1,1.004053871
GPR3,0.982844959
RNU6-424P,0.978206962
FAM76A,1.005063301
STX12,0.985290026
PPP1R8,1.034954518
SCARNA1,0.993517536
THEMIS2,1.0469123
SMPDL3B,0.949521786
XKR8,0.995778655
ATP5IF1,0.99264851
SESN2,0.994688745
MED18,1.027778424
PHACTR4,1.004714276
RCC1,1.064997337
SNHG3,1.050184952
TRNAU1AP,1.032595834
RAB42,1.060523452
LINC01715,0.965851484
GMEB1,1.042570732
YTHDF2,1.017706053
OPRD1,0.983381062
EPB41,0.962203471
PTPRU,1.068496311
MATN1-AS1,1.00342754
RN7SKP91,0.996611273
ZCCHC17,1.03375634
SERINC2,1.137265476
TINAGL1,1.114176804
HCRTR1,1.000950274
TMEM39B,1.017024399
KPNA6,1.046199539
TXLNA,1.041039205
CCDC28B,1.003097126
IQCC,0.996274176
EIF3I,1.034153716
FAM167B,0.994989518
LCK,1.036829403
HDAC1,1.083371049
TSSK3,1.001565057
RN7SL122P,0.990093648
ZBTB8B,1.024133491
RBBP4,1.01251163
KIAA1522,1.013477506
S100PBP,1.046948871
HPCA,0.98971298
AZIN2,1.058609631
ZNF362,1.005035321
ZSCAN20,1.031246848
HMGB4,0.98073636
RNA5SP42,1.028380409
C1orf94,0.977610464
GJB5,1.080121114
GJB4,1.074671884
GJB3,1.071319193
GJA4,0.990001966
ZMYM1,1.042203772
ZMYM4,1.011759311
NCDN,1.020837435
TFAP2E,0.987803241
AGO4,1.039607647
AGO1,1.018341704
AGO3,1.001530604
ADPRHL2,1.031667296
MAP7D1,1.044560762
THRAP3,1.024056102
SH3D21,1.08603124
RNU6-636P,0.968863747
ZC3H12A,1.071198044
DNALI1,0.954351933
CDCA8,1.074280177
MANEAL,1.002862598
C1orf122,1.000807096
RNU6-584P,1.02151871
UTP11,1.021441479
RNU6-753P,1.003029708
RNU6-605P,0.983062452
AKIRIN1,1.008020385
NDUFS5,1.027702741
MACF1,1.059077502
BMP8A,1.05506539
PPIE,1.028847603
MFSD2A,1.119541144
CAP1,1.099873479
RLF,1.03908662
RNU6-1237P,1.004140502
TMCO2,0.992671154
ZMPSTE24,1.044233291
SMAP2,1.013926711
ZFP69B,1.017754661
ZFP69,1.022155297
EXO5,1.011428258
ZNF684,0.964968981
NFYC,1.013195975
MIR30E,0.939540774
MIR30C1,1.001621027
KCNQ4,0.993913317
RN7SL326P,1.00282763
CTPS1,1.059414522
GUCA2B,1.011838708
RIMKLA,0.986795949
PPCS,1.017089233
CCDC30,1.012748866
YBX1,1.015532109
C1orf50,1.020280684
ERMAP,0.994937551
ZNF691,0.99940126
RNU6-880P,1.061971497
FAM183A,0.997449326
CFAP57,0.981972781
RNA5SP46,1.021342306
TMEM125,0.973494389
TIE1,1.003225837
MPL,0.986507706
CDC20,1.091289903
SZT2,1.006847919
PTPRF,1.051779992
KDM4A,1.027570899
ST3GAL3,1.011042599
ARTN,0.997051565
IPO13,1.027662697
DPH2,1.011698867
B4GALT2,1.012314124
CCDC24,0.99513358
KLF17,0.997759636
DMAP1,0.995490638
RNU6-369P,0.980669942
RNF220,1.02514123
ARMH1,0.991369512
KIF2C,1.111656067
RPS8,1.032108594
SNORD55,1.013895488
PLK3,1.060397378
RNA5SP47,0.979690852
UROD,1.021506209
HPDL,1.021917982
TOE1,1.018032665
MMACHC,0.98710432
AKR1A1,1.028949203
NASP,1.034887215
TMEM69,1.01318495
MAST2,1.082043945
TSPAN1,1.458744778
LURAP1,1.036691768
RAD54L,1.073880053
UQCRH,1.032810916
NSUN4,1.020825064
